"DS_DESCRICAO";"FK_ESTADO";"ID_CIDADE";"estado_ID_ESTADO"
"CRAIBAS";2;73;0
"DELMIRO GOUVEIA";2;74;0
"DOIS RIACHOS";2;75;0
"ENTREMONTES";2;76;0
"ESTRELA DE ALAGOAS";2;77;0
"FEIRA GRANDE";2;78;0
"FELIZ DESERTO";2;79;0
"FLEXEIRAS";2;81;0
"GASPAR";2;83;0
"GIRAU DO PONCIANO";2;84;0
"IBATEGUARA";2;85;0
"IGACI";2;86;0
"IGREJA NOVA";2;87;0
"INHAPI";2;88;0
"JACARE DOS HOMENS";2;89;0
"JACUIPE";2;90;0
"JAPARATINGA";2;91;0
"JARAMATAIA";2;92;0
"JENIPAPO";2;93;0
"JOAQUIM GOMES";2;94;0
"JUNDIA";2;95;0
"JUNQUEIRO";2;96;0
"LAGOA DA AREIA";2;97;0
"LAGOA DA CANOA";2;98;0
"LAGOA DA PEDRA";2;99;0
"LAGOA DANTAS";2;100;0
"LAGOA DO CALDEIRAO";2;101;0
"LAGOA DO CANTO";2;102;0
"LAGOA DO EXU";2;103;0
"LAGOA DO RANCHO";2;104;0
"LAGOA DO RANCHO";2;105;0
"LAJES DO CALDEIRAO";2;106;0
"LARANJAL";2;107;0
"LIMOEIRO DE ANADIA";2;108;0
"MACEIO";2;109;0
"MAJOR ISIDORO";2;110;0
"MAR VERMELHO";2;111;0
"MARAGOGI";2;112;0
"MARAVILHA";2;113;0
"MARECHAL DEODORO";2;114;0
"MARIBONDO";2;115;0
"MASSARANDUBA";2;116;0
"MATA GRANDE";2;117;0
"MATRIZ DE CAMARAGIBE";2;118;0
"MESSIAS";2;119;0
"MINADOR DO NEGRAO";2;120;0
"MONTEIROPOLIS";2;121;0
"MOREIRA";2;122;0
"MUNGUBA";2;123;0
"MURICI";2;124;0
"NOVO LINO";2;125;0
"OLHO DAGUA GRANDE";2;126;0
"OLHO DAGUA DAS FLORES";2;127;0
"OLHO DAGUA DE CIMA";2;128;0
"OLHO DAGUA DO CASADO";2;129;0
"OLHO DAGUA DOS DANDANHAS";2;130;0
"OLIVENCA";2;131;0
"OURO BRANCO";2;132;0
"PALESTINA";2;133;0
"PALMEIRA DE FORA";2;134;0
"PALMEIRA DOS INDIOS";2;135;0
"PAO DE ACUCAR";2;136;0
"PARICONHA";2;137;0
"PARIPUEIRA";2;138;0
"PASSO DE CAMARAGIBE";2;139;0
"PAU DARCO";2;140;0
"PAU FERRO";2;141;0
"PAULO JACINTO";2;142;0
"PENEDO";2;143;0
"PIACABUCU";2;144;0
"PILAR";2;145;0
"PINDOBA";2;146;0
"PIRANHAS";2;147;0
"POCAO";2;148;0
"POCO DA PEDRA";2;149;0
"POCO DAS TRINCHEIRAS";2;150;0
"PORTO CALVO";2;151;0
"PORTO DE PEDRAS";2;152;0
"PORTO REAL DO COLEGIO";2;153;0
"POXIM";2;154;0
"QUEBRANGULO";2;155;0
"RIACHO DO SERTAO";2;156;0
"RIACHO FUNDO DE CIMA";2;157;0
"RIO LARGO";2;158;0
"ROCHA CAVALCANTE";2;159;0
"ROTEIRO";2;160;0
"SANTA EFIGENIA";2;161;0
"SANTA LUZIA DO NORTE";2;162;0
"SANTANA DO IPANEMA";2;163;0
"SANTANA DO MUNDAU";2;164;0
"SANTO ANTONIO";2;165;0
"SAO BRAS";2;166;0
"SAO JOSE DA LAJE";2;167;0
"SAO JOSE DA TAPERA";2;168;0
"SAO LUIS DO QUITUNDE";2;169;0
"SAO MIGUEL DOS CAMPOS";2;170;0
"SAO MIGUEL DOS MILAGRES";2;171;0
"SAO SEBASTIAO";2;172;0
"SAPUCAIA";2;173;0
"SAPUCAIA";2;174;0
"SATUBA";2;175;0
"SENADOR RUI PALMEIRA";2;176;0
"SERRA DA MANDIOCA";2;177;0
"SERRA DO SAO JOSE";2;178;0
"TABOLEIRO DO PINTO";2;179;0
"TABOQUINHA";2;180;0
"TANQUE DARCA";2;181;0
"TAQUARANA";2;182;0
"TATUAMUNHA";2;183;0
"TEOTONIO VILELA";2;184;0
"TRAIPU";2;185;0
"UNIAO DOS PALMARES";2;186;0
"USINA CAMACARI";2;187;0
"VICOSA";2;188;0
"VILA APARECIDA";2;189;0
"VILA SAO FRANCISCO";2;190;0
"ALVARAES";4;191;0
"AMATARI";4;192;0
"AMATURA";4;193;0
"ANAMA";4;194;0
"ANORI";4;195;0
"APUI";4;196;0
"ARIAU";4;197;0
"ATALAIA DO NORTE";4;198;0
"AUGUSTO MONTENEGRO";4;199;0
"AUTAZES";4;200;0
"AXINIM";4;201;0
"BADAJOS";4;202;0
"BALBINA";4;203;0
"BARCELOS";4;204;0
"BARREIRINHA";4;205;0
"BENJAMIN CONSTANT";4;206;0
"BERURI";4;207;0
"BOA VISTA DO RAMOS";4;208;0
"BOCA DO ACRE";4;209;0
"BORBA";4;210;0
"CAAPIRANGA";4;211;0
"CAMETA";4;212;0
"CANUMA";4;213;0
"CANUTAMA";4;214;0
"CARAUARI";4;215;0
"CAREIRO";4;216;0
"CAREIRO DA VARZEA";4;217;0
"CARVOEIRO";4;218;0
"COARI";4;219;0
"CODAJAS";4;220;0
"CUCUI";4;221;0
"EIRUNEPE";4;222;0
"ENVIRA";4;223;0
"FLORIANO PEIXOTO";4;224;0
"FONTE BOA";4;225;0
"FREGUESIA DO ANDIRA";4;226;0
"GUAJARA";4;227;0
"HUMAITA";4;228;0
"IAUARETE";4;229;0
"ICANA";4;230;0
"IPIXUNA";4;231;0
"IRANDUBA";4;232;0
"ITACOATIARA";4;233;0
"ITAMARATI";4;234;0
"ITAPIRANGA";4;235;0
"JAPURA";4;236;0
"JURUA";4;237;0
"JUTAI";4;238;0
"LABREA";4;239;0
"LAGO PRETO";4;240;0
"MANACAPURU";4;241;0
"MANAQUIRI";4;242;0
"MANAUS";4;243;0
"MANICORE";4;244;0
"MARAA";4;245;0
"MASSAUARI";4;246;0
"MAUES";4;247;0
"MOCAMBO";4;248;0
"MOURA";4;249;0
"MURUTINGA";4;250;0
"NHAMUNDA";4;251;0
"NOVA OLINDA DO NORTE";4;252;0
"NOVO AIRAO";4;253;0
"NOVO ARIPUANA";4;254;0
"OSORIO DA FONSECA";4;255;0
"PARINTINS";4;256;0
"PAUINI";4;257;0
"PEDRAS";4;258;0
"PRESIDENTE FIGUEIREDO";4;259;0
"REPARTIMENTO";4;260;0
"RIO PRETO DA EVA";4;261;0
"SANTA ISABEL DO RIO NEGRO";4;262;0
"SANTA RITA";4;263;0
"SANTO ANTONIO DO ICA";4;264;0
"SAO FELIPE";4;265;0
"SAO GABRIEL DA CACHOEIRA";4;266;0
"SAO PAULO DE OLIVENCA";4;267;0
"SAO SEBASTIAO DO UATUMA";4;268;0
"SILVES";4;269;0
"TABATINGA";4;270;0
"TAPAUA";4;271;0
"TEFE";4;272;0
"TONANTINS";4;273;0
"UARINI";4;274;0
"URUCARA";4;275;0
"URUCURITUBA";4;276;0
"VILA PITINGA";4;277;0
"ABACATE DA PEDREIRA";3;278;0
"AMAPA";3;280;0
"AMAPARI";3;281;0
"AMBE";3;282;0
"APOREMA";3;283;0
"ARIRI";3;284;0
"BAILIQUE";3;285;0
"BOCA DO JARI";3;286;0
"CALCOENE";3;287;0
"CANTANZAL";3;288;0
"CARMO";3;289;0
"CLEVELANDIA DO NORTE";3;290;0
"CORRE AGUA";3;291;0
"CUNANI";3;292;0
"CURIAU";3;293;0
"CUTIAS";3;294;0
"FAZENDINHA";3;295;0
"FERREIRA GOMES";3;296;0
"FORTALEZA";3;297;0
"GAIVOTA";3;298;0
"GURUPORA";3;299;0
"IGARAPE DO LAGO";3;300;0
"ILHA DE SANTANA";3;301;0
"INAJA";3;302;0
"ITAUBAL";3;303;0
"LARANJAL DO JARI";3;304;0
"LIVRAMENTO DO PACUI";3;305;0
"LOURENCO";3;306;0
"MACAPA";3;307;0
"MAZAGAO";3;308;0
"MAZAGAO VELHO";3;309;0
"OIAPOQUE";3;310;0
"PAREDAO";3;311;0
"PORTO GRANDE";3;312;0
"PRACUUBA";3;313;0
"SANTA LUZIA DO PACUI";3;314;0
"SANTA MARIA";3;315;0
"SANTANA";3;316;0
"SAO JOAQUIM DO PACUI";3;317;0
"SAO SEBASTIAO DO LIVRAMENTO";3;318;0
"SAO TOME";3;319;0
"SUCURIJU";3;321;0
"TARTARUGALZINHO";3;322;0
"VILA VELHA";3;323;0
"VITORIA DO JARI";3;324;0
"ABADIA";5;325;0
"ABAIRA";5;326;0
"ABARE";5;327;0
"ABELHAS";5;328;0
"ABOBORA";5;329;0
"ABRANTES";5;330;0
"ACAJUTIBA";5;331;0
"ACU DA TORRE";5;332;0
"ACUDINA";5;333;0
"ACUPE";5;334;0
"ADUSTINA";5;335;0
"AFLIGIDOS";5;336;0
"AFRANIO PEIXOTO";5;337;0
"AGUA DOCE";5;338;0
"AGUA FRIA";5;339;0
"AGUAS DO PAULISTA";5;340;0
"AIQUARA";5;341;0
"ALAGOINHAS";5;342;0
"ALCOBACA";5;343;0
"ALEGRE";5;344;0
"ALGODAO";5;345;0
"ALGODOES";5;346;0
"ALMADINA";5;347;0
"ALTO BONITO";5;348;0
"AMADO BAHIA";5;349;0
"AMANIU";5;350;0
"AMARGOSA";5;351;0
"AMELIA RODRIGUES";5;352;0
"AMERICA DOURADA";5;353;0
"AMERICO ALVES";5;354;0
"ANAGE";5;355;0
"ANDARAI";5;356;0
"ANDORINHA";5;357;0
"ANGICAL";5;358;0
"ANGICO";5;359;0
"ANGUERA";5;360;0
"ANTAS";5;361;0
"ANTONIO CARDOSO";5;362;0
"ANTONIO GONCALVES";5;363;0
"APORA";5;364;0
"APUAREMA";5;365;0
"ARACAS";5;366;0
"ARACATU";5;367;0
"ARACI";5;368;0
"ARAMARI";5;369;0
"ARAPIRANGA";5;370;0
"ARATACA";5;371;0
"ARATUIPE";5;372;0
"AREIAS";5;373;0
"AREMBEPE";5;374;0
"ARGOIM";5;375;0
"ARGOLO";5;376;0
"ARIBICE";5;377;0
"ARITAGUA";5;378;0
"AURELINO LEAL";5;379;0
"BAIANOPOLIS";5;380;0
"BAIXA DO PALMEIRA";5;381;0
"BAIXA GRANDE";5;382;0
"BAIXAO";5;383;0
"BAIXINHA";5;384;0
"BALUARTE";5;385;0
"BANCO CENTRAL";5;386;0
"BANCO DA VITORIA";5;387;0
"BANDEIRA DO ALMADA";5;388;0
"BANDEIRA DO COLONIA";5;389;0
"BANDIACU";5;390;0
"BANZAE";5;391;0
"BARAUNAS";5;392;0
"BARCELOS DO SUL";5;393;0
"BARRA";5;394;0
"BARRA DA ESTIVA";5;395;0
"BARRA DO CHOCA";5;396;0
"BARRA DO JACUIPE";5;397;0
"BARRA DO MENDES";5;398;0
"BARRA DO POJUCA";5;399;0
"BARRA DO ROCHA";5;400;0
"BARRA DO TARRACHIL";5;401;0
"BARRACAS";5;402;0
"BARREIRAS";5;403;0
"BARRO ALTO";5;404;0
"BARRO PRETO";5;405;0
"BARRO VERMELHO";5;406;0
"BARROCAS";5;407;0
"BASTIAO";5;408;0
"BATE PE";5;409;0
"BATINGA";5;410;0
"BELA FLOR";5;411;0
"BELEM DA CACHOEIRA";5;412;0
"BELMONTE";5;413;0
"BELO CAMPO";5;414;0
"BELO CAMPO";5;415;0
"BEM-BOM";5;416;0
"BENDEGO";5;417;0
"BENTO SIMOES";5;418;0
"BIRITINGA";5;419;0
"BOA ESPERA";5;420;0
"BOA NOVA";5;421;0
"BOA UNIAO";5;422;0
"BOA VISTA DO LAGAMAR";5;423;0
"BOA VISTA DO TUPIM";5;424;0
"BOACU";5;425;0
"BOCA DO CORREGO";5;426;0
"BOM JESUS DA LAPA";5;427;0
"BOM JESUS DA SERRA";5;428;0
"BOM SOSSEGO";5;429;0
"BONFIM DA FEIRA";5;430;0
"BONINAL";5;431;0
"BONITO";5;432;0
"BOQUIRA";5;433;0
"BOTUPORA";5;434;0
"BOTUQUARA";5;435;0
"BREJINHO DAS AMETISTAS";5;436;0
"BREJO DA SERRA";5;437;0
"BREJO LUIZA DE BRITO";5;438;0
"BREJO NOVO";5;439;0
"BREJOES";5;440;0
"BREJOLANDIA";5;441;0
"BROTAS DE MACAUBAS";5;442;0
"BRUMADO";5;443;0
"BUCUITUBA";5;444;0
"BUERAREMA";5;445;0
"BURACICA";5;446;0
"BURANHEM";5;447;0
"BURIL";5;448;0
"BURIS DE ABRANTES";5;449;0
"BURITIRAMA";5;450;0
"CAATIBA";5;451;0
"CABACEIRAS DO PARAGUACU";5;452;0
"CABRALIA";5;453;0
"CACHA PREGOS";5;454;0
"CACHOEIRA";5;455;0
"CACHOEIRA DO MATO";5;456;0
"CACULE";5;457;0
"CAEM";5;458;0
"CAETANOS";5;459;0
"CAETE-ACU";5;460;0
"CAETITE";5;461;0
"CAFARNAUM";5;462;0
"CAICARA";5;463;0
"CAIMBE";5;464;0
"CAIRU";5;465;0
"CAIUBI";5;466;0
"CAJUI";5;467;0
"CALDAS DO JORRO";5;468;0
"CALDEIRAO";5;469;0
"CALDEIRAO GRANDE";5;470;0
"CALDEIRAS";5;471;0
"CAMACAN";5;472;0
"CAMACARI";5;473;0
"CAMAMU";5;474;0
"CAMASSANDI";5;475;0
"CAMIRIM";5;476;0
"CAMPINHOS";5;477;0
"CAMPO ALEGRE DE LOURDES";5;478;0
"CAMPO FORMOSO";5;479;0
"CAMPO FORMOSO";5;480;0
"CAMURUGI";5;481;0
"CANABRAVINHA";5;482;0
"CANAPOLIS";5;483;0
"CANARANA";5;484;0
"CANATIBA";5;485;0
"CANAVIEIRAS";5;486;0
"CANCHE";5;487;0
"CANDEAL";5;488;0
"CANDEIAS";5;489;0
"CANDIBA";5;490;0
"CANDIDO SALES";5;491;0
"CANOAO";5;492;0
"CANSANCAO";5;493;0
"CANTO DO SOL";5;494;0
"CANUDOS";5;495;0
"CANUDOS";5;496;0
"CAPAO";5;497;0
"CAPELA DO ALTO ALEGRE";5;498;0
"CAPIM GROSSO";5;499;0
"CARAGUATAI";5;500;0
"CARAIBAS";5;501;0
"CARAIBUNA";5;502;0
"CARAIPE";5;503;0
"CARAIVA";5;504;0
"CARAVELAS";5;505;0
"CARDEAL DA SILVA";5;506;0
"CARINHANHA";5;507;0
"CARIPARE";5;508;0
"CARNAIBA DO SERTAO";5;509;0
"CARRAPICHEL";5;510;0
"CASA NOVA";5;511;0
"CASTELO NOVO";5;512;0
"CASTRO ALVES";5;513;0
"CATINGA DO MOURA";5;514;0
"CATINGAL";5;515;0
"CATOLANDIA";5;516;0
"CATOLES";5;517;0
"CATOLEZINHO";5;518;0
"CATU";5;519;0
"CATU DE ABRANTES";5;520;0
"CATURAMA";5;521;0
"CAVUNGE";5;522;0
"CENTRAL";5;523;0
"CERAIMA";5;524;0
"CHORROCHO";5;525;0
"CICERO DANTAS";5;526;0
"CINCO RIOS";5;527;0
"CIPO";5;528;0
"COARACI";5;529;0
"COCOS";5;530;0
"COLONIA";5;531;0
"COMERCIO";5;532;0
"CONCEICAO DA FEIRA";5;533;0
"CONCEICAO DO ALMEIDA";5;534;0
"CONCEICAO DO COITE";5;535;0
"CONCEICAO DO JACUIPE";5;536;0
"CONDE";5;537;0
"CONDEUBA";5;538;0
"CONTENDAS DO SINCORA";5;539;0
"COPIXABA";5;540;0
"COQUEIROS";5;541;0
"COQUINHOS";5;542;0
"CORACAO DE MARIA";5;543;0
"CORDEIROS";5;544;0
"CORIBE";5;545;0
"CORONEL JOAO SA";5;546;0
"CORRENTINA";5;547;0
"CORTA MAO";5;548;0
"COTEGIPE";5;549;0
"COUTOS";5;550;0
"CRAVOLANDIA";5;551;0
"CRISOPOLIS";5;552;0
"CRISTALANDIA";5;553;0
"CRISTOPOLIS";5;554;0
"CRUSSAI";5;555;0
"CRUZ DAS ALMAS";5;556;0
"CUMURUXATIBA";5;557;0
"CUNHANGI";5;558;0
"CURACA";5;559;0
"CURRAL FALSO";5;560;0
"DARIO MEIRA";5;561;0
"DELFINO";5;562;0
"DESCOBERTO";5;563;0
"DIAS COELHO";5;564;0
"DIAS DAVILA";5;565;0
"DIOGENES SAMPAIO";5;566;0
"DOM BASILIO";5;567;0
"DOM MACEDO COSTA";5;568;0
"DONA MARIA";5;569;0
"DUAS BARRAS DO MORRO";5;570;0
"ELISIO MEDRADO";5;571;0
"ENCRUZILHADA";5;572;0
"ENGENHEIRO FRANCA";5;573;0
"ENGENHEIRO PONTES";5;574;0
"ENTRE RIOS";5;575;0
"ERICO CARDOSO";5;576;0
"ESPLANADA";5;577;0
"EUCLIDES DA CUNHA";5;578;0
"EUNAPOLIS";5;579;0
"FATIMA";5;580;0
"FEIRA DA MATA";5;581;0
"FEIRA DE SANTANA";5;582;0
"FERRADAS";5;583;0
"FILADELFIA";5;584;0
"FILANESIA";5;585;0
"FIRMINO ALVES";5;586;0
"FLORESTA AZUL";5;587;0
"FORMOSA DO RIO PRETO";5;588;0
"FRANCA";5;589;0
"GABIARRA";5;590;0
"GALEAO";5;591;0
"GAMBOA";5;592;0
"GAMELEIRA DA LAPA";5;593;0
"GAMELEIRA DO ASSURUA";5;594;0
"GANDU";5;595;0
"GAVIAO";5;596;0
"GENTIO DO OURO";5;597;0
"GEOLANDIA";5;598;0
"GLORIA";5;599;0
"GONGOGI";5;600;0
"GOVERNADOR JOAO DURVAL CARNEIRO";5;601;0
"GOVERNADOR MANGABEIRA";5;602;0
"GUAGIRUS";5;603;0
"GUAI";5;604;0
"GUAJERU";5;605;0
"GUANAMBI";5;606;0
"GUAPIRA";5;607;0
"GUARAJUBA";5;608;0
"GUARATINGA";5;609;0
"GUEREM";5;610;0
"GUINE";5;611;0
"GUIRAPA";5;612;0
"GURUPA MIRIM";5;613;0
"HELIOPOLIS";5;614;0
"HELVECIA";5;615;0
"HIDROLANDIA";5;616;0
"HUMILDES";5;617;0
"IACU";5;618;0
"IBATUI";5;619;0
"IBIACU";5;620;0
"IBIAJARA";5;621;0
"IBIAPORA";5;622;0
"IBIASSUCE";5;623;0
"IBICARAI";5;624;0
"IBICOARA";5;625;0
"IBICUI";5;626;0
"IBIPEBA";5;627;0
"IBIPETUM";5;628;0
"IBIPITANGA";5;629;0
"IBIQUERA";5;630;0
"IBIRABA";5;631;0
"IBIRAJA";5;632;0
"IBIRANHEM";5;633;0
"IBIRAPITANGA";5;634;0
"IBIRAPUA";5;635;0
"IBIRATAIA";5;636;0
"IBITIARA";5;637;0
"IBITIGUIRA";5;638;0
"IBITIRA";5;639;0
"IBITITA";5;640;0
"IBITUNANE";5;641;0
"IBITUPA";5;642;0
"IBO";5;643;0
"IBOTIRAMA";5;644;0
"ICHU";5;645;0
"ICO";5;646;0
"IGAPORA";5;647;0
"IGARA";5;648;0
"IGARITE";5;649;0
"IGATU";5;650;0
"IGRAPIUNA";5;651;0
"IGUA";5;652;0
"IGUAI";5;653;0
"IGUAIBI";5;654;0
"IGUATEMI";5;655;0
"IGUIRA";5;656;0
"IGUITU";5;657;0
"ILHA DE MARE";5;658;0
"ILHEUS";5;659;0
"INDAI";5;660;0
"INEMA";5;661;0
"INHAMBUPE";5;662;0
"INHATA";5;663;0
"INHAUMAS";5;664;0
"INHOBIM";5;665;0
"INUBIA";5;666;0
"IPECAETA";5;667;0
"IPIAU";5;668;0
"IPIRA";5;669;0
"IPIUNA";5;670;0
"IPUCABA";5;671;0
"IPUPIARA";5;672;0
"IRAJUBA";5;673;0
"IRAMAIA";5;674;0
"IRAPORANGA";5;675;0
"IRAQUARA";5;676;0
"IRARA";5;677;0
"IRECE";5;678;0
"IRUNDIARA";5;679;0
"ITA-AZUL";5;680;0
"ITABELA";5;681;0
"ITABERABA";5;682;0
"ITABUNA";5;683;0
"ITACARE";5;684;0
"ITACAVA";5;685;0
"ITACHAMA";5;686;0
"ITACIMIRIM";5;687;0
"ITAETE";5;688;0
"ITAGI";5;689;0
"ITAGIBA";5;690;0
"ITAGIMIRIM";5;691;0
"ITAGUACU DA BAHIA";5;692;0
"ITAIA";5;693;0
"ITAIBO";5;694;0
"ITAIPU";5;695;0
"ITAITU";5;696;0
"ITAJAI";5;697;0
"ITAJU DO COLONIA";5;698;0
"ITAJUBAQUARA";5;699;0
"ITAJUIPE";5;700;0
"ITAJURU";5;701;0
"ITAMARAJU";5;702;0
"ITAMARI";5;703;0
"ITAMBE";5;704;0
"ITAMIRA";5;705;0
"ITAMOTINGA";5;706;0
"ITANAGE";5;707;0
"ITANAGRA";5;708;0
"ITANHEM";5;709;0
"ITANHI";5;710;0
"ITAPARICA";5;711;0
"ITAPE";5;712;0
"ITAPEBI";5;713;0
"ITAPEIPU";5;714;0
"ITAPETINGA";5;715;0
"ITAPICURU";5;716;0
"ITAPIREMA";5;717;0
"ITAPITANGA";5;718;0
"ITAPORA";5;719;0
"ITAPURA";5;720;0
"ITAQUARA";5;721;0
"ITAQUARAI";5;722;0
"ITARANTIM";5;723;0
"ITATI";5;724;0
"ITATIM";5;725;0
"ITATINGUI";5;726;0
"ITIRUCU";5;727;0
"ITIUBA";5;728;0
"ITORORO";5;729;0
"ITUACU";5;730;0
"ITUBERA";5;731;0
"ITUPEVA";5;732;0
"IUIU";5;733;0
"JABORANDI";5;734;0
"JACARACI";5;735;0
"JACOBINA";5;736;0
"JACU";5;737;0
"JACUIPE";5;738;0
"JACURUNA";5;739;0
"JAGUAQUARA";5;740;0
"JAGUARA";5;741;0
"JAGUARARI";5;742;0
"JAGUARIPE";5;743;0
"JAIBA";5;744;0
"JANDAIRA";5;745;0
"JAPOMIRIM";5;746;0
"JAPU";5;747;0
"JAUA";5;748;0
"JEQUIE";5;749;0
"JEQUIRICA";5;750;0
"JEREMOABO";5;751;0
"JIRIBATUBA";5;752;0
"JITAUNA";5;753;0
"JOAO AMARO";5;754;0
"JOAO CORREIA";5;755;0
"JOAO DOURADO";5;756;0
"JOSE GONCALVES";5;757;0
"JUACEMA";5;758;0
"JUAZEIRO";5;759;0
"JUCURUCU";5;760;0
"JUERANA";5;761;0
"JUNCO";5;762;0
"JUPAGUA";5;763;0
"JURACI";5;764;0
"JUREMAL";5;765;0
"JUSSARA";5;766;0
"JUSSARI";5;767;0
"JUSSIAPE";5;768;0
"KM SETE";5;769;0
"LAFAIETE COUTINHO";5;770;0
"LAGOA CLARA";5;771;0
"LAGOA DE MELQUIADES";5;772;0
"LAGOA DO BOI";5;773;0
"LAGOA GRANDE";5;774;0
"LAGOA GRANDE";5;775;0
"LAGOA JOSE LUIS";5;776;0
"LAGOA PRETA";5;777;0
"LAGOA REAL";5;778;0
"LAJE";5;779;0
"LAJE DO BANCO";5;780;0
"LAJEDAO";5;781;0
"LAJEDINHO";5;782;0
"LAJEDO ALTO";5;783;0
"LAJEDO DO TABOCAL";5;784;0
"LAMARAO";5;785;0
"LAMARAO DO PASSE";5;786;0
"LAPAO";5;787;0
"LARGO";5;788;0
"LAURO DE FREITAS";5;789;0
"LENCOIS";5;790;0
"LICINIO DE ALMEIDA";5;791;0
"LIMOEIRO DO BOM VIVER";5;792;0
"LIVRAMENTO DE NOSSA SENHORA";5;793;0
"LUCAIA";5;794;0
"LUIS VIANA";5;795;0
"LUSTOSA";5;796;0
"MACAJUBA";5;797;0
"MACARANI";5;798;0
"MACAUBAS";5;799;0
"MACURURE";5;800;0
"MADRE DE DEUS";5;801;0
"MAETINGA";5;802;0
"MAIQUINIQUE";5;803;0
"MAIRI";5;804;0
"MALHADA";5;805;0
"MALHADA DE PEDRAS";5;806;0
"MANDIROBA";5;807;0
"MANGUE SECO";5;808;0
"MANIACU";5;809;0
"MANOEL VITORINO";5;810;0
"MANSIDAO";5;811;0
"MANTIBA";5;812;0
"MAR GRANDE";5;813;0
"MARACAS";5;814;0
"MARAGOGIPE";5;815;0
"MARAGOGIPINHO";5;816;0
"MARAU";5;817;0
"MARCIONILIO SOUZA";5;818;0
"MARCOLINO MOURA";5;819;0
"MARIA QUITERIA";5;820;0
"MARICOABO";5;821;0
"MARIQUITA";5;822;0
"MASCOTE";5;823;0
"MASSACARA";5;824;0
"MASSAROCA";5;825;0
"MATA DA ALIANCA";5;826;0
"MATA DE SAO JOAO";5;827;0
"MATARIPE";5;828;0
"MATINA";5;829;0
"MATINHA";5;830;0
"MEDEIROS NETO";5;831;0
"MIGUEL CALMON";5;832;0
"MILAGRES";5;833;0
"LUIS EDUARDO MAGALHAES";5;834;0
"MINAS DO ESPIRITO SANTO";5;835;0
"MINAS DO MIMOSO";5;836;0
"MIRANDELA";5;837;0
"MIRANGA";5;838;0
"MIRANGABA";5;839;0
"MIRANTE";5;840;0
"MOCAMBO";5;841;0
"MOGIQUICABA";5;842;0
"MONTE CRUZEIRO";5;843;0
"MONTE GORDO";5;844;0
"MONTE RECONCAVO";5;845;0
"MONTE SANTO";5;846;0
"MORPARA";5;847;0
"MORRINHOS";5;848;0
"MORRO DAS FLORES";5;849;0
"MORRO DE SAO PAULO";5;850;0
"MORRO DO CHAPEU";5;851;0
"MORTUGABA";5;852;0
"MUCUGE";5;853;0
"MUCURI";5;854;0
"MULUNGU DO MORRO";5;855;0
"MUNDO NOVO";5;856;0
"MUNIZ FERREIRA";5;857;0
"MUQUEM DE SAO FRANCISCO";5;858;0
"MURITIBA";5;859;0
"MUTAS";5;860;0
"MUTUIPE";5;861;0
"NAGE";5;862;0
"NARANDIBA";5;863;0
"NAZARE";5;864;0
